CL State,CL Region,CL District,Housing Category,Title,URL,Date Posted,Time Posted,Price,Location,Bedrooms,Area,Price_Area,Num Time,Title Key
California,sfbay,eby,apa,BEAUTIFUL PASSIVE SOLAR 2 BEDROOM,https://sfbay.craigslist.org/eby/apa/d/oakland-beautiful-passive-solar-2/6976756705.html,2019-09-19,18:45,2050.0,oakland east,2,750.0,2.7333333333333334,,
California,sfbay,eby,apa,GBAR_Nice and clean 2beds & 1bath located in conveniently Laurel Dist,https://sfbay.craigslist.org/eby/apa/d/oakland-gbarnice-and-clean-2beds-1bath/6982431869.html,2019-09-19,17:11,1900.0,oakland hills / mills,2,750.0,2.533333333333333,,
California,sfbay,eby,apa,2 Bedroom and One Bath - Waitlist Only!,https://sfbay.craigslist.org/eby/apa/d/san-pablo-2-bedroom-and-one-bath/6982434228.html,2019-09-19,17:14,2100.0,richmond / point / annex,2,800.0,2.625,,
California,sfbay,eby,apa,HERITAGE GROVE IS YOUR NEW HOME,https://sfbay.craigslist.org/eby/apa/d/el-sobrante-heritage-grove-is-your-new/6982449634.html,2019-09-19,17:50,1925.0,"hercules, pinole, san pablo, el sob",2,750.0,2.566666666666667,,
California,sfbay,sfc,apa,2 Bedroom House in Berkeley near Downtown BART,https://sfbay.craigslist.org/sfc/apa/d/berkeley-2-bedroom-house-in-berkeley/6982412322.html,2019-09-19,16:35,3275.0,south berkeley,2,750.0,4.366666666666666,,
California,sfbay,sfc,apa,***Beautiful Spacious 2 bedrooms Unit. Excellent Richmond Location.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-spacious-2/6982282825.html,2019-09-19,13:40,2200.0,richmond / seacliff,2,460.0,4.782608695652174,,
California,sfbay,sfc,apa,"House For Rent at 2920 Anza Street, San Francisco",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-house-for-rent-at-2920/6970519095.html,2019-09-19,12:56,4000.0,richmond / seacliff,3,1800.0,2.2222222222222223,,
California,sfbay,sfc,apa,4 Bedrooms - Furnished / Unfurnished,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-4-bedrooms-furnished/6971684976.html,2019-09-19,12:12,5200.0,richmond / seacliff,4,1800.0,2.888888888888889,,
California,sfbay,sfc,apa,"3/2Gorgeous Hercules Home is THE ONE, look no further!",https://sfbay.craigslist.org/sfc/apa/d/hercules-3-2gorgeous-hercules-home-is/6982098357.html,2019-09-19,10:30,1300.0,"142 farragut st, hercules, ca",3,1727.0,0.7527504342790967,,
California,sfbay,sfc,apa,UPDATED Bright 900 Sq/Ft 2BR/1BA Top Floor Apartment AVAIL NOW,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-bright-900-sq-ft/6977087425.html,2019-09-19,10:32,3095.0,inner richmond,2,900.0,3.438888888888889,,
California,sfbay,sfc,apa,Must-see ocean view flat in Outer Richmond,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-must-see-ocean-view-flat/6976928313.html,2019-09-19,08:11,3200.0,richmond / seacliff,2,1100.0,2.9090909090909087,,
California,sfbay,sfc,apa,Mt. Lake 2 bedroom - 5041 Calif. St.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-mt-lake-2-bedroom-calif-st/6981786998.html,2019-09-18,19:31,3300.0,inner richmond,2,1100.0,3.0,,
California,sfbay,sfc,apa,"2BR/1BA Corner Unit on 18th Ave & Lake St: Open house Friday, Sept. 20",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2br-1ba-corner-unit-on/6977149385.html,2019-09-18,15:51,3250.0,richmond / seacliff,2,1000.0,3.25,,
California,sfbay,sfc,apa,"Bright, Spacious 2Bed/1bath Apt. w/Parking & Laundry",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-spacious-2bed/6981554625.html,2019-09-18,13:15,3200.0,richmond / seacliff,2,1050.0,3.0476190476190474,,
California,sfbay,sfc,apa,►Bright & Spacious Edwardian 2or3BR/1BA - Laundry & Storage!◄,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-spacious-edwardian/6978452835.html,2019-09-18,10:55,3850.0,richmond / seacliff,3,1200.0,3.208333333333333,,
California,sfbay,eby,apa,remodeled one bedroom-gated community-parking,https://sfbay.craigslist.org/eby/apa/d/oakland-remodeled-one-bedroom-gated/6983287107.html,2019-09-20,23:26,1795.0,oakland hills / mills,1,700.0,2.5642857142857145,,
California,sfbay,eby,apa,remodeled one bedroom-gated community-parking,https://sfbay.craigslist.org/eby/apa/d/oakland-remodeled-one-bedroom-gated/6983287027.html,2019-09-20,23:09,1795.0,oakland lake merritt / grand,1,700.0,2.5642857142857145,,
California,sfbay,eby,apa,***Upstairs One Bedroom Coming in October***,https://sfbay.craigslist.org/eby/apa/d/san-leandro-upstairs-one-bedroom-coming/6983253991.html,2019-09-20,20:37,1625.0,san leandro,1,600.0,2.708333333333333,,
California,sfbay,eby,apa,**Upstairs Upgraded One Bedroom Available Now**,https://sfbay.craigslist.org/eby/apa/d/san-leandro-upstairs-upgraded-one/6983251406.html,2019-09-20,20:28,1725.0,san leandro,1,600.0,2.875,,
California,sfbay,eby,apa,"AVAILABLE NOW! - BEAUTIFUL! Clean, Remodeled 1BR/1BA",https://sfbay.craigslist.org/eby/apa/d/pinole-available-now-beautiful-clean/6983204342.html,2019-09-20,18:21,1725.0,"hercules, pinole, san pablo, el sob",1,745.0,2.315436241610738,,
California,sfbay,sfc,apa,Sunny one bedroom apartment,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sunny-one-bedroom/6983175834.html,2019-09-20,17:23,2100.0,inner richmond,1,600.0,3.5,,
California,sfbay,eby,apa,"1br - 470ft^2 - Embrace the lifestyle, Beautiful Scenic location near",https://sfbay.craigslist.org/eby/apa/d/san-pablo-1br-470ft2-embrace-the/6983189184.html,2019-09-20,17:49,1350.0,richmond / point / annex,1,470.0,2.872340425531915,,
California,sfbay,eby,apa,Lovely upstairs studio (Fruitvale District),https://sfbay.craigslist.org/eby/apa/d/oakland-lovely-upstairs-studio/6971426491.html,2019-09-20,15:09,990.0,oakland east,1,250.0,3.96,,
California,sfbay,eby,apa,"Short-Term rental, 1 Bd. in-law with private entrance, all utilities i",https://sfbay.craigslist.org/eby/apa/d/oakland-short-term-rental-1-bd-in-law/6983047663.html,2019-09-20,14:11,1700.0,oakland hills / mills,1,550.0,3.0909090909090917,,
California,sfbay,eby,apa,One bedroom Wait list only!!,https://sfbay.craigslist.org/eby/apa/d/san-pablo-one-bedroom-wait-list-only/6983024181.html,2019-09-20,13:42,1750.0,richmond / point / annex,1,675.0,2.592592592592593,,
California,sfbay,eby,apa,$1650  BEAUTIFULLY UPDATED 1 BDR APT IN QUIET 5-PLEX/HARDWOOD FLOORS,https://sfbay.craigslist.org/eby/apa/d/san-leandro-1650-beautifully-updated-1/6976361606.html,2019-09-20,13:00,1650.0,san leandro,1,650.0,2.5384615384615383,,
California,sfbay,eby,apa,Cozy 1 Bedroom with Scenic Views,https://sfbay.craigslist.org/eby/apa/d/san-pablo-cozy-1-bedroom-with-scenic/6982914963.html,2019-09-20,11:39,1350.0,richmond / point / annex,1,470.0,2.872340425531915,,
California,sfbay,eby,apa,Great Inlaw Near Uptown!!,https://sfbay.craigslist.org/eby/apa/d/oakland-great-inlaw-near-uptown/6982832466.html,2019-09-20,10:14,1595.0,oakland north / temescal,1,650.0,2.453846153846154,,
