CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Map,Post has Geotag,Bedrooms,Area
California,sfbay,sby,rooms & shares,6964731957,6581936096,College students that want to share a huge Master bedroom,https://sfbay.craigslist.org/sby/roo/d/san-jose-college-students-that-want-to/6964731957.html,2019-08-25,21:32,$900,san jose south,True,False,None,None,None
California,sfbay,sby,rooms & shares,6962681829,None,"North Valley Beauty 2 story spacious room, utilities included",https://sfbay.craigslist.org/sby/roo/d/san-jose-north-valley-beauty-2-story/6962681829.html,2019-08-25,21:29,$850,san jose north,True,False,None,None,200ft2
California,sfbay,sby,rooms & shares,6959637426,4922146842,One Bedroom in Evergreen Area,https://sfbay.craigslist.org/sby/roo/d/san-jose-one-bedroom-in-evergreen-area/6959637426.html,2019-08-25,21:07,$800,san jose south,True,False,None,None,None
California,sfbay,sby,rooms & shares,6964725714,6842846011,Furnished Room in a house- - South Fremont,https://sfbay.craigslist.org/sby/roo/d/milpitas-furnished-room-in-house-south/6964725714.html,2019-08-25,21:07,$750,milpitas,True,False,None,None,None
California,sfbay,sby,rooms & shares,6964725634,6946024408,2 Rooms available in a house-Close to Mathilda/Maude,https://sfbay.craigslist.org/sby/roo/d/sunnyvale-2-rooms-available-in-house/6964725634.html,2019-08-25,21:07,$890,sunnyvale,True,False,None,None,None
California,sfbay,sby,rooms & shares,6964722819,6484016219,北圣荷西雅房出 - $650,https://sfbay.craigslist.org/sby/roo/d/san-jose/6964722819.html,2019-08-25,20:56,$650,san jose north,True,False,None,None,None
California,sfbay,sby,rooms & shares,6963420537,5408723306,Calm & Quiet - Room for Rent,https://sfbay.craigslist.org/sby/roo/d/calm-quiet-room-for-rent/6963420537.html,2019-08-25,20:51,$795,gilroy,True,False,None,None,2200ft2
California,sfbay,sby,rooms & shares,6964719880,None,南灣 北SAN JOSE 全新裝修獨立屋 房間長租 800,https://sfbay.craigslist.org/sby/roo/d/san-jose-san-jose-800/6964719880.html,2019-08-25,20:46,$800,san jose north,True,False,None,None,None
California,sfbay,sby,rooms & shares,6956803088,None,"Beautiful Room for rent in a Calm, Quiet Home",https://sfbay.craigslist.org/sby/roo/d/san-jose-beautiful-room-for-rent-in/6956803088.html,2019-08-25,20:42,$800,san jose south,True,False,None,None,None
California,sfbay,sby,rooms & shares,6962001091,6576261834,Room in Very Nice Neighborhood between Santana Row and SCU,https://sfbay.craigslist.org/sby/roo/d/santa-clara-room-in-very-nice/6962001091.html,2019-08-25,20:16,$825,santa clara,True,False,None,None,150ft2
