Area,CL District,CL Region,CL State,Date Posted,Housing Category,Location,Price,Time Posted,Title,URL,Title Key,Num Time
72ft2,eby,sfbay,California,2019-08-27,sublets & temporary,albany / el cerrito,750.0,13:24,"Single room, 10 min EC BART, avail Sept 1",https://sfbay.craigslist.org/eby/sub/d/el-cerrito-single-room-10-min-ec-bart/6962281576.html,"Single room, 10 min EC BART, avail Sept 1 _ albany / el cerrito",13
72ft2,eby,sfbay,California,2019-08-27,rooms & shares,albany / el cerrito,750.0,13:23,"Quiet, nicely furnished single10 min Plaza BART, available Sept 2019",https://sfbay.craigslist.org/eby/roo/d/el-cerrito-quiet-nicely-furnished/6962285410.html,"Quiet, nicely furnished single10 min Plaza BART, available Sept 2019 _ albany / el cerrito",13
None,eby,sfbay,California,2019-08-27,rooms & shares,berkeley,540.0,12:05,Beautiful house with Nice Size Room.All Utilities Paid,https://sfbay.craigslist.org/eby/roo/d/berkeley-beautiful-house-with-nice-size/6965813701.html,Beautiful house with Nice Size Room.All Utilities Paid _ berkeley,12
290ft2,eby,sfbay,California,2019-08-27,rooms & shares,richmond / point / annex,690.0,12:38,690 UNFURNISHED ROOM! YOU CANT BEAT THAT! AVAILABLE NOW!!!,https://sfbay.craigslist.org/eby/roo/d/richmond-690-unfurnished-room-you-cant/6962674667.html,690 UNFURNISHED ROOM! YOU CANT BEAT THAT! AVAILABLE NOW!!! _ richmond / point / annex,12
96ft2,eby,sfbay,California,2019-08-26,rooms & shares,Allendale neighborhood Oakland,700.0,20:34,Room for rent $700 p/m,https://sfbay.craigslist.org/eby/roo/d/oakland-room-for-rent-700-m/6962489348.html,Room for rent $700 p/m _ Allendale neighborhood Oakland,20
None,eby,sfbay,California,2019-08-26,rooms & shares,oakland west,671.0,20:07,Room available in 5 bedroom West Oakland duplex,https://sfbay.craigslist.org/eby/roo/d/oakland-room-available-in-5-bedroom/6965482433.html,Room available in 5 bedroom West Oakland duplex _ oakland west,20
None,sfc,sfbay,California,2019-08-26,rooms & shares,inner richmond,830.0,17:33,Private room with chill housemates,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-private-room-with-chill/6965405298.html,Private room with chill housemates _ inner richmond,17
None,eby,sfbay,California,2019-08-25,rooms & shares,richmond / point / annex,650.0,16:08,$650 cheap room for rent便宜房间,https://sfbay.craigslist.org/eby/roo/d/richmond-650-cheap-room-for-rent/6964596844.html,$650 cheap room for rent便宜房间 _ richmond / point / annex,16
None,eby,sfbay,California,2019-08-25,rooms & shares,berkeley,750.0,12:08,Room available in cute apartment near Ashby Bart,https://sfbay.craigslist.org/eby/roo/d/berkeley-room-available-in-cute/6964438585.html,Room available in cute apartment near Ashby Bart _ berkeley,12
144ft2,eby,sfbay,California,2019-08-24,rooms & shares,oakland east,790.0,19:27,Near Lake Merritt/East OAKLAND (utilities included),https://sfbay.craigslist.org/eby/roo/d/oakland-near-lake-merritt-east-oakland/6964096534.html,Near Lake Merritt/East OAKLAND (utilities included) _ oakland east,19
144ft2,eby,sfbay,California,2019-08-24,rooms & shares,oakland east,790.0,18:59,$790 / 140ft2 - ROOM FOR RENT/UTILITIES INCLUDED Near Lake Merritt,https://sfbay.craigslist.org/eby/roo/d/oakland-ft2-room-for-rent-utilities/6960812128.html,$790 / 140ft2 - ROOM FOR RENT/UTILITIES INCLUDED Near Lake Merritt _ oakland east,18
None,eby,sfbay,California,2019-08-24,rooms & shares,richmond / point / annex,650.0,15:05,$650 cheap and quite room 便宜宁静,https://sfbay.craigslist.org/eby/roo/d/richmond-650-cheap-and-quite-room/6959899474.html,$650 cheap and quite room 便宜宁静 _ richmond / point / annex,15
90ft2,eby,sfbay,California,2019-08-24,rooms & shares,albany / el cerrito,650.0,09:28,$650 1 Bd In A 3 Br Beautiful House Include Utility &  Wifi,https://sfbay.craigslist.org/eby/roo/d/el-cerrito-bd-in-3-br-beautiful-house/6963698615.html,$650 1 Bd In A 3 Br Beautiful House Include Utility &  Wifi _ albany / el cerrito,9
110ft2,eby,sfbay,California,2019-08-24,rooms & shares,oakland east,725.0,00:25,Furnished room  - close to coliseum bart !,https://sfbay.craigslist.org/eby/roo/d/oakland-furnished-room-close-to/6963485356.html,Furnished room  - close to coliseum bart ! _ oakland east,0
90ft2,sfc,sfbay,California,2019-08-23,rooms & shares,richmond / seacliff,802.0,14:08,Two Rooms available on September 9th,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-two-rooms-available-on/6963226351.html,Two Rooms available on September 9th _ richmond / seacliff,14
None,eby,sfbay,California,2019-08-23,rooms & shares,oakland hills / mills,775.0,10:09,Your Own Four Walls -  Tiny House - 2 Rooms - See Photos!,https://sfbay.craigslist.org/eby/roo/d/oakland-your-own-four-walls-tiny-house/6942459759.html,Your Own Four Walls -  Tiny House - 2 Rooms - See Photos! _ oakland hills / mills,10
None,eby,sfbay,California,2019-08-23,sublets & temporary,berkeley,550.0,08:33,Private Room available part time on a Sailboat Yacht,https://sfbay.craigslist.org/eby/sub/d/berkeley-private-room-available-part/6954692501.html,Private Room available part time on a Sailboat Yacht _ berkeley,8
None,eby,sfbay,California,2019-08-22,rooms & shares,oakland west,640.0,18:03,West Oakland Queer House Sept 1st,https://sfbay.craigslist.org/eby/roo/d/oakland-west-oakland-queer-house-sept/6962636897.html,West Oakland Queer House Sept 1st _ oakland west,18
None,eby,sfbay,California,2019-08-22,sublets & temporary,oakland hills / mills,700.0,16:42,Lovely private room in beautiful mountainside home in Oakland Hills,https://sfbay.craigslist.org/eby/sub/d/canyon-lovely-private-room-in-beautiful/6962594096.html,Lovely private room in beautiful mountainside home in Oakland Hills _ oakland hills / mills,16
None,eby,sfbay,California,2019-08-22,sublets & temporary,berkeley,560.0,15:54,Aug-Sept: In-Law / Private One-Bedroom in Large Beautiful Home,https://sfbay.craigslist.org/eby/sub/d/berkeley-aug-sept-in-law-private-one/6962564447.html,Aug-Sept: In-Law / Private One-Bedroom in Large Beautiful Home _ berkeley,15
None,eby,sfbay,California,2019-08-22,rooms & shares,oakland north / temescal,725.0,14:59,Room in House $725 + Utilities,https://sfbay.craigslist.org/eby/roo/d/room-in-house-725-utilities/6962528023.html,Room in House $725 + Utilities _ oakland north / temescal,14
166ft2,sfc,sfbay,California,2019-08-22,rooms & shares,richmond / seacliff,900.0,12:58,Seeking 1 Female housemate (Private Bedroom All utilities included),https://sfbay.craigslist.org/sfc/roo/d/san-francisco-seeking-1-female/6962431550.html,Seeking 1 Female housemate (Private Bedroom All utilities included) _ richmond / seacliff,12
