INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-28 23:42
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-28 23:44
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-28 23:49
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-28 23:51
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-28 23:52
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-29 00:47
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-29 00:55
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-29 00:56
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-29 00:57
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-29 00:57
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-29 08:57
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-29 09:19
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-29 09:24
INFO:root:Ran with filters: {'private_room': True, 'private_bath': None, 'cats_ok': None, 'dogs_ok': None, 'min_price': 500, 'max_price': 1200, 'min_ft2': None, 'max_ft2': None, 'min_bedrooms': None, 'max_bedrooms': None, 'min_bathrooms': None, 'max_bathrooms': None, 'no_smoking': None, 'is_furnished': None, 'wheelchair_acccess': None, 'has_image': True} at 2019-08-29 09:26
