Area,CL District,CL Region,CL State,Date Posted,Housing Category,Location,Price,Time Posted,Title,URL
None,eby,sfbay,California,9/7/19,rooms & shares,oakland lake merritt / grand,600.0,19:50,$600 one room for rent near late Merritt,https://sfbay.craigslist.org/eby/roo/d/oakland-600-one-room-for-rent-near-late/6973897333.html
133ft2,eby,sfbay,California,9/4/19,rooms & shares,richmond / point / annex,750.0,12:21,"$750 Richmond, Bart, 580 Fwy, Ferry, 5 Minute Bart,5 min 580",https://sfbay.craigslist.org/eby/roo/d/richmond-750-richmond-bart-580-fwy/6971419670.html
72ft2,eby,sfbay,California,9/2/19,rooms & shares,albany / el cerrito,650.0,8:05,"Quiet single, 10 min EC BART, avail Sept 1",https://sfbay.craigslist.org/eby/roo/d/el-cerrito-quiet-single-10-min-ec-bart/6969714148.html
