,state_or_country,region,subregion,housing_category,post_id,repost_of_post_id,title,url,date_posted,time_posted,price,location,post_has_image,post_has_geotag,bedrooms,area
1827,california,sfbay,pen,apts & housing for rent,7160376078,None,"Ceiling Fans, Grill, Picnic Area, Maintenance on site, Dishwasher",https://sfbay.craigslist.org/pen/apa/d/mountain-view-ceiling-fans-grill-picnic/7160376078.html,2020-07-16 00:00:00,1900-01-01 09:24:00,2495,mountain view,True,None,2,None
1851,california,sfbay,pen,apts & housing for rent,7160045348,None,"Air Conditioner, Dishwasher, Pool, Ready now!",https://sfbay.craigslist.org/pen/apa/d/mountain-view-air-conditioner/7160045348.html,2020-07-18 00:00:00,1900-01-01 13:59:00,2495,mountain view,True,None,2,None
1854,california,sfbay,pen,apts & housing for rent,7157733498,None,"New Carpet, AC & Ceiling Fans, Cable Ready, Pool, Picnic Area",https://sfbay.craigslist.org/pen/apa/d/mountain-view-new-carpet-ac-ceiling/7157733498.html,2020-07-16 00:00:00,1900-01-01 12:54:00,2495,mountain view,True,None,2,None
1874,california,sfbay,pen,apts & housing for rent,7159801971,None,"Disposal, Ceiling Fans, High Speed Internet Access, Air Conditioning",https://sfbay.craigslist.org/pen/apa/d/mountain-view-disposal-ceiling-fans/7159801971.html,2020-07-15 00:00:00,1900-01-01 09:55:00,2495,mountain view,True,None,2,None
1878,california,sfbay,pen,apts & housing for rent,7159252926,None,"Dishwasher, Manager on Site, Ceiling Fans, Recycling, Grill",https://sfbay.craigslist.org/pen/apa/d/mountain-view-dishwasher-manager-on/7159252926.html,2020-07-14 00:00:00,1900-01-01 11:05:00,2495,mountain view,True,None,2,None
1901,california,sfbay,pen,apts & housing for rent,7154320539,None,Charming and Spacious,https://sfbay.craigslist.org/pen/apa/d/mountain-view-charming-and-spacious/7154320539.html,2020-07-14 00:00:00,1900-01-01 15:02:00,2500,mountain view,True,None,2,1000ft2
1902,california,sfbay,pen,apts & housing for rent,7154319994,None,Nice and Great Location,https://sfbay.craigslist.org/sby/apa/d/mountain-view-nice-and-great-location/7154319994.html,2020-07-14 00:00:00,1900-01-01 15:01:00,2500,mountain view,True,None,2,1000ft2
1907,california,sfbay,pen,apts & housing for rent,7160500906,None,"1 Bath, 1 Month FREE with 12 months lease!! Large second unit floor",https://sfbay.craigslist.org/pen/apa/d/mountain-view-1-bath-1-month-free-with/7160500906.html,2020-07-16 00:00:00,1900-01-01 12:10:00,2595,mountain view,True,None,2,None
1910,california,sfbay,pen,apts & housing for rent,7160442452,None,"Fantastic 2-bedroom, 1-bathroom Apartment in Mountain View, CA.",https://sfbay.craigslist.org/sby/apa/d/mountain-view-fantastic-2-bedroom-1/7160442452.html,2020-07-16 00:00:00,1900-01-01 12:22:00,2650,mountain view,True,None,2,750ft2
1996,california,sfbay,pen,apts & housing for rent,7159512262,None,Mountain View Apartment off Villa Downtown Section 8 Welcome,https://sfbay.craigslist.org/sby/apa/d/mountain-view-mountain-view-apartment/7159512262.html,2020-07-14 00:00:00,1900-01-01 18:36:00,2800,mountain view,True,None,2,990ft2
2001,california,sfbay,pen,apts & housing for rent,7151656058,None,Charming Holly Apartment,https://sfbay.craigslist.org/pen/apa/d/san-carlos-charming-holly-apartment/7151656058.html,2020-07-17 00:00:00,1900-01-01 07:02:00,2800,san carlos,True,None,2,None
2014,california,sfbay,pen,apts & housing for rent,7152911608,None,*TOP FLOOR CORNER UNIT* 2 Bedroom w/ Private Balcony,https://sfbay.craigslist.org/pen/apa/d/mountain-view-top-floor-corner-unit-2/7152911608.html,2020-07-15 00:00:00,1900-01-01 12:21:00,2645,mountain view,True,None,2,900ft2
2023,california,sfbay,pen,apts & housing for rent,7155345740,None,Great San Carlos Location,https://sfbay.craigslist.org/pen/apa/d/san-carlos-great-san-carlos-location/7155345740.html,2020-07-17 00:00:00,1900-01-01 13:36:00,2700,san carlos,True,None,2,None
2031,california,sfbay,pen,apts & housing for rent,7158839405,None,Beautiful 2 Bed/ 1 Bath $2400 Apartment in Mountain View,https://sfbay.craigslist.org/sby/apa/d/mountain-view-beautiful-2-bed-1-bath/7158839405.html,2020-07-13 00:00:00,1900-01-01 15:54:00,2400,mountain view,True,None,2,None
2046,california,sfbay,pen,apts & housing for rent,7159499306,None,2 Bed/1 Bath $2400 Apartment in Mountain View!,https://sfbay.craigslist.org/pen/apa/d/mountain-view-2-bed-1-bath-2400/7159499306.html,2020-07-14 00:00:00,1900-01-01 18:03:00,2400,mountain view,True,None,2,None
2047,california,sfbay,pen,apts & housing for rent,7159834195,None,2 Bedroom small bldg near City Hall,https://sfbay.craigslist.org/pen/apa/d/san-carlos-2-bedroom-small-bldg-near/7159834195.html,2020-07-15 00:00:00,1900-01-01 10:42:00,2350,san carlos,True,None,2,None
2070,california,sfbay,pen,apts & housing for rent,7158592351,None,Apartment for Rent-WONDERFUL,https://sfbay.craigslist.org/pen/apa/d/san-carlos-apartment-for-rent-wonderful/7158592351.html,2020-07-16 00:00:00,1900-01-01 10:24:00,2690,san carlos,True,None,2,1000ft2
2113,california,sfbay,pen,apts & housing for rent,7158895239,None,"*2 Weeks Free* 2 bd 1 bath in San Carlos Hills! ""BT Properties""",https://sfbay.craigslist.org/pen/apa/d/san-carlos-2-weeks-free-2-bd-1-bath-in/7158895239.html,2020-07-13 00:00:00,1900-01-01 17:48:00,2695,san carlos,True,None,2,None
2114,california,sfbay,pen,apts & housing for rent,7160112123,None,"*2 Weeks Free* 2 bd 1 bath in San Carlos Hills! ""BT Properties""",https://sfbay.craigslist.org/pen/apa/d/san-carlos-2-weeks-free-2-bd-1-bath-in/7160112123.html,2020-07-15 00:00:00,1900-01-01 18:26:00,2695,san carlos,True,None,2,None
2224,california,sfbay,pen,apts & housing for rent,7158918512,None,I NEED A 2 BDRM - SANTA CLARA COUNTY - 2300 PER MONTH,https://sfbay.craigslist.org/sfc/apa/d/mountain-view-need-2-bdrm-santa-clara/7158918512.html,2020-07-13 00:00:00,1900-01-01 18:46:00,2300,SUNNYVALE,False,None,2,None
2299,california,sfbay,pen,apts & housing for rent,7156858235,None,Quiet and charming condo with courtyard view,https://sfbay.craigslist.org/pen/apa/d/mountain-view-quiet-and-charming-condo/7156858235.html,2020-07-16 00:00:00,1900-01-01 17:53:00,2800,mountain view,True,None,2,935ft2
2420,california,sfbay,pen,apts & housing for rent,7151962247,None,Cypress Point Condo | Contemporary Flooring | Amenity Rich Community,https://sfbay.craigslist.org/sby/apa/d/mountain-view-cypress-point-condo/7151962247.html,2020-07-17 00:00:00,1900-01-01 13:38:00,2795,mountain view,True,None,2,843ft2
2421,california,sfbay,pen,apts & housing for rent,7151966444,None,Cypress Point Condo | Contemporary Flooring | Amenity Rich Community,https://sfbay.craigslist.org/pen/apa/d/mountain-view-cypress-point-condo/7151966444.html,2020-07-17 00:00:00,1900-01-01 13:31:00,2795,mountain view,True,None,2,843ft2
2543,california,sfbay,pen,apts & housing for rent,7159424716,None,"Price Reduced!!! Private 2/1 Near the Pool, Hard Floors Throughout!",https://sfbay.craigslist.org/sby/apa/d/mountain-view-price-reduced-private-2-1/7159424716.html,2020-07-14 00:00:00,1900-01-01 15:19:00,2300,mountain view,True,None,2,825ft2
2544,california,sfbay,pen,apts & housing for rent,7160607298,None,PRICE REDUCED!!!  Bright Downstairs 2/1 In Front of Pool!,https://sfbay.craigslist.org/sby/apa/d/mountain-view-price-reduced-bright/7160607298.html,2020-07-16 00:00:00,1900-01-01 14:50:00,2300,mountain view,True,None,2,825ft2
2545,california,sfbay,pen,apts & housing for rent,7160610557,None,Price Reduced!!! Downstairs 2/1...Move in Bonus,https://sfbay.craigslist.org/sby/apa/d/mountain-view-price-reduced-downstairs/7160610557.html,2020-07-16 00:00:00,1900-01-01 14:55:00,2300,mountain view,True,None,2,825ft2
