,state_or_country,region,subregion,housing_category,post_id,repost_of_post_id,title,url,date_posted,time_posted,price,location,post_has_image,post_has_geotag,bedrooms,area,Unnamed: 0
1798,california,sfbay,pen,apts & housing for rent,7162449618,7123169932,$2795 / 2br - 1107ft2 - $2795 Apt. for rent: 2bedroom/1bath w/ 2 car p,https://sfbay.craigslist.org/pen/apa/d/mountain-view-br-ft-apt-for-rent/7162449618.html,2020-07-19 00:00:00,1900-01-01 20:05:00,2795,mountain view,True,None,2,1107ft2,
2867,california,sfbay,pen,apts & housing for rent,7161736278,6750646969,"2BR, Luxurious Amenities, Private Garage, **VIRTUAL TOUR AVAILABLE**",https://sfbay.craigslist.org/sby/apa/d/mountain-view-2br-luxurious-amenities/7161736278.html,2020-07-18 00:00:00,1900-01-01 12:58:00,2795,mountain view,True,None,2,775ft2,
